ID,Character,Sentence
1,할아버지,머나먼 옛날^ 한 아이가 살고 있었어요
,,아이는 하늘을 날아다니면 어떤 기분일까가 궁금해 자신이 직접 하늘을 날아보기로 했어요.
,,주변에 있는 새의 깃털을 모아 날개를 만들어서 뛰어도 보았고 높은 계단을 만들어서 올라가보려고도 했답니다.
,,자신이 상상한 모든 방식으로 하늘을 날기를 실패하자^ 아이는 다른 사람들에게 물어보기로 했어요.
2,???,"""날개가 작았던 것은 아닐까?"""
,,"""내 생각엔 팔의 힘이 부족해서 그랬던 것 같아. 운동해보지 않을래?"""
,,"""계단은 너무 많은 재료가 필요하니까 좋은 방식은 아니라 생각해."""
,,"""배도 물 위를 떠다니니 날아다니는 배를 만들어보는 것은 어떨까?"""
3,할아버지,마을 사람들의 권유에 따라 아이는 열심히 팔굽혀펴기도 해보고 대장장이 아저씨의 일을 도와주기도 하며 큰 날개를 만들기도 했지만
,,성공할 수 없었어요.
,,마지막 남은 대장장이 아저씨의 권유로 날아다니는 배를 만들기로 한 아이는 대장장이 아저씨에게 물어보았어요.
4,아이,"""어떻게 하면 날아다니는 배를 만들 수 있을까요?"""
5,할아버지,대장장이 아저씨는 자신이 어렸을 적 들은 이야기를 전해주었어요.
6,대장장이,"""어렸을 적에 들은 이야기가 있긴 한데… 조금 위험하구나."""
,,"""우리 마을에서 자주 철을 수급해오는 광산에서 깊게 들어가면 하늘을 날 만큼 가벼운 철이 있는데 그걸로 배를 만들면 뜰지도 모르겠구나."""
7,할아버지,실낱같은 희망이 생긴 어쩌구는 다음 날 아침 아저씨가 말한 철을 찾기 위해서 광산으로 떠났어요.
,,광산에서 많은 괴물들을 피하고 싸우기를 반복한 결과 아이는 가벼운 철을 찾는데 성공했답니다.
,,마을로 돌아온 아이는 대장장이 아저씨에게 자신이 가져온 철을 건네주며 하늘을 나는 배를 부탁했어요.
,,"얼마 뒤^ 아이는 12살이 되는 생일날 하늘을 나는 배를 만들어 온 대장장이 아저씨는 생일 선물로 배의 이름을 ""비행기""가 짓고 선물해주었어요."
,,신이 난 아이는 비행기에 올라타 하늘을 신나게 날아다녔어요.
,,그러던 순간!
,,눈 앞에 거대한 성이 둥둥 떠다니는 것을 발견하게 되었어요!
,,호기심이 생긴 아이는 하늘성 안을 돌아다니며 구경한 아이는 함박웃음을 짓고 마을로 돌아왔답니다.
,,하늘에서 무엇을 보았는지 궁금증이 생긴 마을 사람들은 아이에게 무엇을 보았느냐 물어보았어요.
8,아이,"""하늘에 엄청나게 큰 성이 있었어요! 그리고 거기에는 엄청난 보물이 있었어요."""
9,할아버지,마을 사람들은 그런 소중한 보물이면 가지고 오는 것이 맞지 않느냐 물어보자 아이는 생글생글 웃으며 말했어요.
10,아이,"""가져올 수 없었어요. 그럴 수 없는 것이거든요."""
11,할아버지,여행을 마치고 온 날 밤이 지나고 아침이 오자 아이와 비행기는 처음부터 마을에 없었다는 듯이 사라져 있었답니다.
,,하늘성의 보물이 궁금했던 여러 마을 꼬마들도 비행기를 만들어 하늘성을 구경갔지만^ 돌아온 이후 보이는 얼굴은 모두 달랐답니다.
,,울상을 지으며 돌아온 아이^ 눈물을 뚝뚝 흘리며 서글퍼하는 아이^ 처음 하늘성을 여행한 아이처럼 해맑은 미소도 있었답니다.
,,하늘성을 다녀온 모든 아이들은 여행이 끝난 다음 비행기와 같이 사라졌고^ 비행기를 만들었던 철은 언제나 그 자리에 돌아와 있었답니다.
